"municipalityName";"municipalityCode";"provinceCode";"provinceName";"securityRegionCode";"securityRegionName";"population"
"Rijssen-Holten";"GM1742";"PV23";"Overijssel";"VR05";"Twente";"38177"
"Rijswijk (ZH.)";"GM0603";"PV28";"Zuid-Holland";"VR15";"Haaglanden";"54450"
"Roerdalen";"GM1669";"PV31";"Limburg";"VR23";"Limburg-Noord";"20574"
"Roermond";"GM0957";"PV31";"Limburg";"VR23";"Limburg-Noord";"58260"
"De Ronde Venen";"GM0736";"PV26";"Utrecht";"VR09";"Utrecht";"44456"
"Roosendaal";"GM1674";"PV30";"Noord-Brabant";"VR20";"Midden-enWest-Brabant";"77251"
"Rotterdam";"GM0599";"PV28";"Zuid-Holland";"VR17";"Rotterdam-Rijnmond";"651157"
"Rozendaal";"GM0277";"PV25";"Gelderland";"VR07";"Gelderland-Midden";"1704"
"Rucphen";"GM0840";"PV30";"Noord-Brabant";"VR20";"Midden-enWest-Brabant";"22878"
"Schagen";"GM0441";"PV27";"Noord-Holland";"VR10";"Noord-Holland-Noord";"46483"
"Scherpenzeel";"GM0279";"PV25";"Gelderland";"VR07";"Gelderland-Midden";"9880"
"Schiedam";"GM0606";"PV28";"Zuid-Holland";"VR17";"Rotterdam-Rijnmond";"78730"
"Schiermonnikoog";"GM0088";"PV21";"Fryslân";"VR02";"Fryslân";"947"
"Schouwen-Duiveland";"GM1676";"PV29";"Zeeland";"VR19";"Zeeland";"33839"
"Simpelveld";"GM0965";"PV31";"Limburg";"VR24";"Limburg-Zuid";"10555"
"Sint Anthonis";"GM1702";"PV30";"Noord-Brabant";"VR21";"Brabant-Noord";"11664"
"Sint-Michielsgestel";"GM0845";"PV30";"Noord-Brabant";"VR21";"Brabant-Noord";"29208"
"Sittard-Geleen";"GM1883";"PV31";"Limburg";"VR24";"Limburg-Zuid";"92429"
"Sliedrecht";"GM0610";"PV28";"Zuid-Holland";"VR18";"Zuid-Holland-Zuid";"25220"
"Sluis";"GM1714";"PV29";"Zeeland";"VR19";"Zeeland";"23210"
"Smallingerland";"GM0090";"PV21";"Fryslân";"VR02";"Fryslân";"56150"
"Soest";"GM0342";"PV26";"Utrecht";"VR09";"Utrecht";"46606"
"Someren";"GM0847";"PV30";"Noord-Brabant";"VR22";"Brabant-Zuidoost";"19368"
"Son en Breugel";"GM0848";"PV30";"Noord-Brabant";"VR22";"Brabant-Zuidoost";"17322"
"Stadskanaal";"GM0037";"PV20";"Groningen";"VR01";"Groningen";"31686"
"Staphorst";"GM0180";"PV23";"Overijssel";"VR04";"IJsselland";"17145"
"Stede Broec";"GM0532";"PV27";"Noord-Holland";"VR10";"Noord-Holland-Noord";"21726"
"Steenbergen";"GM0851";"PV30";"Noord-Brabant";"VR20";"Midden-enWest-Brabant";"24416"
"Steenwijkerland";"GM1708";"PV23";"Overijssel";"VR04";"IJsselland";"44126"
"Stein (L.)";"GM0971";"PV31";"Limburg";"VR24";"Limburg-Zuid";"25007"
"Stichtse Vecht";"GM1904";"PV26";"Utrecht";"VR09";"Utrecht";"64931"
"Súdwest-Fryslân";"GM1900";"PV21";"Fryslân";"VR02";"Fryslân";"89987"
"Terneuzen";"GM0715";"PV29";"Zeeland";"VR19";"Zeeland";"54426"
"Terschelling";"GM0093";"PV21";"Fryslân";"VR02";"Fryslân";"4888"
"Texel";"GM0448";"PV27";"Noord-Holland";"VR10";"Noord-Holland-Noord";"13575"
"Teylingen";"GM1525";"PV28";"Zuid-Holland";"VR16";"Hollands-Midden";"37440"
"Tholen";"GM0716";"PV29";"Zeeland";"VR19";"Zeeland";"25757"
"Tiel";"GM0281";"PV25";"Gelderland";"VR08";"Gelderland-Zuid";"42159"
